form,field,field_type,criticality,default_mode,automation_gate,HITL_trigger,HITL_required_steps,HOTL_required_steps,final_authority,audit_evidence
CMS1500,patient_last,person_name,CRITICAL,HITL,"Valid regional crop; strong OCR agreement; authorized reference match","Missing/ambiguous name; handwriting; OCR disagreement; reference missing or contradictory","Open field crop; compare OCR candidates; compare authorized source; correct or mark insufficient; second-person approval when corrected","Monitor disagreement and drift dashboards; sample accepted values; suspend route on false accept or reference contradiction",Authorized reference or approved human,"Crop hash; page/box; candidates; reference decision; reviewer and approver events"
CMS1500,patient_first,person_name,CRITICAL,HITL,"Valid regional crop; strong OCR agreement; authorized reference match","Missing/ambiguous name; handwriting; OCR disagreement; reference missing or contradictory","Open crop; compare candidates and authorized source; correct or abstain; second-person approval when corrected","Monitor drift and disagreement; sample accepted values; block route after any critical false accept",Authorized reference or approved human,"Crop hash; page/box; candidates; reference decision; reviewer and approver events"
CMS1500,patient_addr1,address,CRITICAL,HITL,"Valid address crop; parsed address; authorized reference agreement","Incomplete address; handwriting; parsing failure; reference missing/contradictory","Review full address block; verify street and number against source; correct or abstain; record reason","Sample reference-verified accepts; monitor address parser failures and contradiction rate",Authorized reference or approved human,"Crop; parsed components; source comparison; reviewer decision"
CMS1500,patient_city,city,NONCRITICAL,HOTL,"Alphabetic city; address-block consistency; confidence >=0.85","Low confidence; label contamination; city/state boundary ambiguity","Inspect address block; select/correct city; confirm state/ZIP consistency; submit","Sample auto-accepts; monitor normalization and address-consistency failures",Automated rule or human,"Crop; raw/normalized value; confidence; reviewer event if used"
CMS1500,patient_state,state,NONCRITICAL,HOTL,"Exactly one valid US state abbreviation; confidence >=0.85","Invalid state; multiple candidates; address inconsistency","Inspect crop/address block; choose valid state or mark insufficient","Sample accepted states; monitor invalid-code and state/ZIP inconsistency rates",Automated validator or human,"Crop; candidate list; state validation result"
CMS1500,patient_zip,zip,NONCRITICAL,HOTL,"Exactly 5 or 9 digits; valid crop; confidence >=0.85","Wrong length; OCR disagreement; address inconsistency","Inspect digit crop and address block; correct digits or abstain","Monitor digit-repair rate and ZIP/address contradictions; sample accepts",Automated validator or human,"Crop; raw/normalized digits; validation; reviewer event"
CMS1500,rel_code,relationship,NONCRITICAL,HOTL,"Exactly one unambiguous checkbox/relationship selection","No mark; multiple marks; OCR and geometry disagreement","Inspect checkbox region; select relationship or mark insufficient","Monitor ambiguous/multiple-mark rate; sample geometry decisions",Human for exceptions,"Checkbox pixels; mark scores; selected code"
CMS1500,insured_addr1,address,CRITICAL,HITL,"Valid address crop; parsed address; authorized reference agreement","Incomplete/handwritten address; reference unavailable or contradictory","Review address block; verify against authorized source; correct or abstain; approve correction","Sample verified accepts; monitor contradiction and parser-failure rates",Authorized reference or approved human,"Crop; components; reference response; approvals"
CMS1500,insured_city,city,CRITICAL,HITL,"Valid city plus authorized address agreement","Low confidence; boundary ambiguity; reference missing/contradictory","Review full block; verify city with source and state/ZIP; correct or abstain","Sample reference-verified route; suspend on critical false accept",Authorized reference or approved human,"Crop; parsed city; reference and reviewer decisions"
CMS1500,insured_state,state,CRITICAL,HITL,"Valid state code plus authorized address agreement","Invalid/ambiguous state or reference contradiction","Inspect address block; verify state; correct or abstain; approve correction","Monitor reference contradiction and state/ZIP consistency",Authorized reference or approved human,"Crop; validation; source comparison; approvals"
CMS1500,insured_zip,zip,CRITICAL,HITL,"5/9 digits plus authorized address agreement","Wrong length; OCR disagreement; reference missing/contradictory","Review crop; verify ZIP with source; correct or abstain; approve correction","Sample verified accepts; monitor critical false accepts and repairs",Authorized reference or approved human,"Crop; normalized ZIP; reference; reviewer/approver events"
