field_group,crop_and_preprocessing,primary_extraction,secondary_or_specialized_extraction,normalization_tools,validation_tools,escalation_tools,implementation_note
Patient first/last name,"OpenCV; Pillow; template-aligned regional crop; crop padding; upscale/contrast retry",PaddleOCR,"Tesseract candidate; TrOCR for handwriting when enabled","Python string cleanup; regular expressions; whitespace/case normalization","Alphabetic-content rules; candidate reconciliation; authorized-reference comparison","Crop-only Azure OpenAI Vision when enabled; human review","Critical handwriting is not accepted from one OCR-confidence score"
Insured name,"OpenCV; Pillow; wider template crop",PaddleOCR,"Tesseract; TrOCR when handwriting route is enabled","Python string cleanup; regex label removal; whitespace normalization","Plausible-name rules; candidate agreement; authorized-reference comparison","Crop-only Azure OpenAI Vision; human review","Prefixes and middle names require wider evidence"
Patient/insured address,"OpenCV; Pillow; multiline regional crop; address-block crop",PaddleOCR,"Tesseract; address-block component parser","Python regex; whitespace normalization; address component splitting","AddressBlock parser; US-state list; ZIP length; component consistency; authorized reference","Crop-only Azure OpenAI Vision; human review","Runtime reference use depends on an approved provider"
City,"OpenCV; separate city crop or address-block crop",PaddleOCR,"Tesseract; address-block parser","Python case and whitespace normalization","Alphabetic-content and address-component consistency rules","Human review; crop-only VLM for unresolved evidence","May be extracted directly or derived from a parsed address block"
State,"OpenCV; very small aligned crop",PaddleOCR,"Tesseract constrained candidate","Python uppercase normalization; regex character filtering","Configured VALID_STATES set; address/ZIP consistency","Human review","A two-letter shape alone is insufficient if it is not a valid state"
ZIP code,"OpenCV; numeric-focused regional crop; retry variants",PaddleOCR,"Tesseract; constrained numeric candidate generation","Python regex removes nondigits","Length validator requiring 5 or 9 digits; address-block consistency","Authorized reference for critical identity routes; human review","Numeric repairs are constrained and retained with lineage"
Date of birth,"OpenCV; digit-focused crop; separators retained",PaddleOCR,"Tesseract; TrOCR when handwriting is enabled","Python date parser and canonical date formatter","Calendar-date validation; authorized-reference comparison; critical-field policy","Crop-only Azure OpenAI Vision; human review","Critical DOB needs stronger evidence than format validity alone"
Service dates,"OpenCV; table/cell crop; row segmentation",PaddleOCR,"Tesseract cell candidate","Python date parser and canonical formatter","Calendar validation; from/to ordering; statement-period checks","Human review; crop-only VLM for unresolved cells","Each date cell is validated independently"
Patient sex,"OpenCV thresholding; pixel density; checkbox geometry","Deterministic checkbox-mark detector","PaddleOCR/Tesseract only for text-rendered values","Python mapping to canonical allowed values","Allowed-value set; single-selection and ambiguity checks","Human review","Geometry is preferred over OCR for marked boxes"
Relationship code,"OpenCV thresholding; checkbox-region geometry","Deterministic checkbox-mark detector","PaddleOCR only where relationship is printed as text","Python box-position-to-code mapping","Exactly-one-selection rule; ambiguity margin","Human review","No clear single mark results in abstention"
Provider NPI,"OpenCV; numeric aligned crop; preprocessing retry",PaddleOCR,"Tesseract; constrained digit alternatives","Python regex digit extraction","10-digit length check; NPI check-digit algorithm in field parser; authorized provider reference","Human review; crop-only Azure Vision when enabled","The repository validator uses the NPI check-digit routine rather than confidence alone"
Rendering/attending NPI,"OpenCV; service-row or provider-region crop",PaddleOCR,"Tesseract; constrained digit alternatives","Python regex digit extraction","10-digit NPI check-digit validation; authorized provider comparison","Human review; crop-only Azure Vision","Same validation family as provider NPI"
Federal tax ID,"OpenCV; numeric crop retaining possible hyphen",PaddleOCR,"Tesseract; constrained digit alternatives","Python regex removes hyphen and nondigits","Exactly 9 digits; authorized provider/reference gate for critical routes","Human review; crop-only Azure Vision","Format validity does not prove ownership of the tax ID"
Patient control/account number,"OpenCV; single-line identifier crop",PaddleOCR,Tesseract,"Python uppercase; regex whitespace and character cleanup","Field-specific allowed-character and nonempty checks","Human review; crop-only VLM","Identifier rules remain permissive enough to preserve legitimate letters and punctuation"
Type of bill,"OpenCV; tight three-character UB-04 crop",PaddleOCR,"Tesseract; constrained alphanumeric alternatives","Python uppercase and whitespace removal","Bill-type structural rules; critical-field acceptance policy","Human review; authorized reference when available","Treated as critical in the evaluation field contract"
Principal diagnosis,"OpenCV; tight diagnosis-code crop",PaddleOCR,"Tesseract; constrained OCR-confusion alternatives","Python uppercase; regex cleanup; controlled decimal normalization","Diagnosis-format regex; authorized code-set/reference validation; critical policy","Human review; crop-only Azure Vision","Unrestricted character substitution is not allowed"
Other diagnosis codes,"OpenCV; code-block segmentation and individual cell crops",PaddleOCR,"Tesseract per cell","Python uppercase; whitespace cleanup; code splitting","Per-code format validator; optional authorized medical-code source","Human review; crop-only VLM","Labels and routing text are excluded from eligible values"
CPT/HCPCS code,"OpenCV; service-line cell crop",PaddleOCR,"Tesseract; constrained alphanumeric candidate","Python uppercase and whitespace normalization","Procedure-code structure; optional authorized code-set lookup","Human review; crop-only VLM","Validation is applied at the individual service-line level"
Modifiers,"OpenCV; narrow modifier cell crops",PaddleOCR,Tesseract,"Python uppercase and token splitting","Expected modifier length and allowed-character rules","Human review","Modifier cells are separated from the CPT/HCPCS cell"
Diagnosis pointer,"OpenCV; tiny constrained cell crop",PaddleOCR,"Tesseract; local cross-family consensus","Python uppercase and whitespace removal","Permitted pointer characters; linkage to extracted diagnosis list","Human review","Noncritical route may use independent OCR consensus"
Place of service,"OpenCV; two-digit table-cell crop",PaddleOCR,"Tesseract numeric candidate","Python regex digits-only normalization","Exactly two digits; configured/authorized code-list check when available","Human review","Invalid codes cannot be rescued by OCR confidence"
